,Title,Director,Screenwriter,Main_performer,Types,Region,Language,ShowtTime,Film_length,Score,Rating_people,Watching_people,Wtsee_people,Comments_people
220,地球上的星星 Taare Zameen Par,阿米尔·汗,阿莫尔·古普特,达席尔·萨法瑞 / 阿米尔·汗 / 塔奈·切赫达 ,剧情/家庭/儿童, 印度, 印度,2007/12/21,165,8.9,139157,193190,124740,31618
221,城市之光 City Lights,查理·卓别林,查理·卓别林 / Harry Clive / 哈里·克罗克,查理·卓别林 / 弗吉尼亚·切瑞尔 / 佛罗伦斯·李 ,剧情/喜剧/爱情, 美国, 英语,1931/1/30,87,9.3,79428,132939,110711,13567
222,浪潮 Die Welle,丹尼斯·甘塞尔,丹尼斯·甘塞尔 / 彼得·图万斯 / 约翰尼·道金斯 / 罗恩·比恩巴赫 / 罗恩·琼斯,于尔根·福格尔 / 弗雷德里克·劳 / 马克思·雷迈特 ,剧情/惊悚, 德国, 德语,2008/3/13,107,8.7,192188,246559,153301,45099
223,朗读者 The Reader,史蒂芬·戴德利,戴维·黑尔 / 本哈德·施林克,凯特·温丝莱特 / 大卫·克劳斯 / 拉尔夫·费因斯 ,剧情/爱情, 美国 / 德国, 英语 / 德语 / 希腊语 / 拉丁语,2008/12/10,124,8.5,356228,495984,176798,56747
224,血钻 Blood Diamond,爱德华·兹威克,查尔斯·里维特,莱昂纳多·迪卡普里奥 / 杰曼·翰苏 / 詹妮弗·康纳利 ,剧情/惊悚/冒险, 美国 / 德国, 英语 / 门德语 / 南非荷兰语,2006/12/8,143,8.6,234010,369938,96938,33071
225,步履不停 歩いても 歩いても,是枝裕和,是枝裕和,阿部宽 / 夏川结衣 / 江原由希子 ,剧情/家庭, 日本, 日语,2008/6/28,115,8.8,164979,227572,202871,46002
226,彗星来的那一夜 Coherence,詹姆斯·沃德·布柯特,詹姆斯·沃德·布柯特 / 亚历克斯·马努吉安,艾米丽·芭尔多尼 / 莫瑞·史特林 / 尼古拉斯·布兰登 ,科幻/悬疑/惊悚, 美国 / 英国, 英语,2013/9/19,89,8.5,329968,437805,175366,77856
227,疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,乔治·米勒,乔治·米勒 / 布伦丹·麦卡锡 / 尼克·拉图里,汤姆·哈迪 / 查理兹·塞隆 / 尼古拉斯·霍尔特 ,动作/科幻/冒险, 澳大利亚 / 美国, 澳大利亚 / 美国,2015/5/14,120,8.6,344040,454969,82853,81383
228,色，戒,李安,王蕙玲 / 詹姆斯·夏慕斯 / 张爱玲,梁朝伟 / 汤唯 / 陈冲 ,剧情/爱情/情色, 中国台湾 / 中国大陆 / 美国 / 中国香港, 汉语普通话 / 上海话 / 英语 / 粤语 / 日语 / 印地语,2007/9/24,158,8.4,440214,682822,146330,73486
229,遗愿清单 The Bucket List,罗伯·莱纳,贾斯汀·扎克汉姆,杰克·尼科尔森 / 摩根·弗里曼 / 西恩·海耶斯 ,剧情/喜剧/冒险, 美国, 英语,2007/12/25,97,8.6,236611,332713,146290,45392
230,大佛普拉斯,黄信尧,黄信尧,庄益增 / 陈竹昇 / 戴立忍 ,剧情/喜剧/犯罪, 中国台湾, 闽南语 / 汉语普通话,2017/10/13,102,8.7,243382,298898,214754,64057
231,再次出发之纽约遇见你 Begin Again,约翰·卡尼,约翰·卡尼,凯拉·奈特莉 / 马克·鲁弗洛 / 亚当·莱文 ,喜剧/爱情/音乐, 美国, 英语,2015/6/26,104,8.5,281314,378272,176443,72729
232,小萝莉的猴神大叔 Bajrangi Bhaijaan,卡比尔·汗,卡比尔·汗 / 维杰耶德拉·普拉萨德,萨尔曼·汗 / 哈莎莉·马洛特拉 / 卡琳娜·卡普尔 ,剧情/喜剧/动作, 印度, 印地语 / 乌尔都语,2018/3/2,159,8.4,325376,536548,106437,81850
