,Title,Director,Screenwriter,Main_performer,Types,Region,Language,ShowtTime,Film_length,Score,Rating_people,Watching_people,Wtsee_people,Comments_people
129,超能陆战队 Big Hero 6,唐·霍尔,乔丹·罗伯茨 / 丹尼尔·吉尔森 / 罗伯特·L·贝尔德,斯科特·安第斯 / 瑞恩·波特 / 丹尼尔·海尼 ,喜剧/动作/科幻/动画/冒险, 美国, 美国,2015/2/28,102,8.7,653629,998201,59481,124937
130,无人知晓 誰も知らない,是枝裕和,是枝裕和,柳乐优弥 / 北浦爱 / 木村飞影 ,剧情, 日本, 日语,2004/5/13,141,9.1,170300,226944,198875,46661
131,借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,米林宏昌,宫崎骏 / 丹羽圭子 / 玛丽·诺顿,志田未来 / 神木隆之介 / 树木希林 ,动画/奇幻/冒险, 日本, 日本,2010/7/17,94,8.8,355366,502726,101361,66016
132,神偷奶爸 Despicable Me,皮埃尔·柯芬,肯·道里欧 / 塞尔希奥·巴勃罗斯 / 辛科·保罗,史蒂夫·卡瑞尔 / 杰森·席格尔 / 拉塞尔·布兰德 ,喜剧/动画/冒险, 美国 / 法国, 美国 / 法国,2010/6/20,95,8.6,657563,1123492,77421,90523
133,风之谷 風の谷のナウシカ,宫崎骏,宫崎骏,岛本须美 / 松田洋治 / 榊原良子 ,动画/奇幻/冒险, 日本, 日语,May-92,117,8.9,267930,460001,120715,32206
134,"怪兽电力公司 Monsters, Inc.",彼特·道格特,安德鲁·斯坦顿 / 丹尼尔·吉尔森 / 罗伯特·L·贝尔德 / 瑞特·里斯 / 乔纳森·罗伯特  / 彼特·道格特 / 杰夫·皮金 / 吉尔·卡尔顿 / 拉夫·埃格尔斯顿,约翰·古德曼 / 比利·克里斯托 / 玛丽·吉布斯 ,喜剧/动画/儿童/奇幻/冒险, 美国, 美国,2001/11/2,92,8.7,424656,698166,91254,45282
135,玩具总动员3 Toy Story 3,李·昂克里奇,迈克尔·阿恩特 / 约翰·拉塞特 / 安德鲁·斯坦顿 / 李·昂克里奇,汤姆·汉克斯 / 蒂姆·艾伦 / 琼·库萨克 ,喜剧/动画/奇幻/冒险, 美国, 美国,2010/6/16,103,8.8,329968,528321,93566,55190
136,上帝之城 Cidade de Deus,费尔南多·梅里尔斯,保罗·林斯 / 布罗里欧·曼托伐尼,亚历桑德雷·罗德里格斯 / 莱安德鲁·菲尔米诺 / 菲利佩·哈根森 ,剧情/犯罪, 巴西 / 法国, 葡萄牙语,2002/5/18,130,8.9,219459,304693,156466,36895
137,血战钢锯岭 Hacksaw Ridge,梅尔·吉布森,安德鲁·奈特 / 罗伯特·申坎,安德鲁·加菲尔德 / 萨姆·沃辛顿 / 文斯·沃恩 ,剧情/传记/历史/战争, 美国 / 澳大利亚, 美国 / 澳大利亚,2016/12/8,139分钟(中国大,8.7,544778,921517,121676,129568
138,完美的世界 A Perfect World,克林特·伊斯特伍德,约翰·李·汉考克,凯文·科斯特纳 / 劳拉·邓恩 / 克林特·伊斯特伍德 ,剧情/犯罪, 美国, 英语,1993/11/24,138,9.1,157495,203899,187301,35352
139,电锯惊魂 Saw,温子仁,温子仁 / 雷·沃纳尔,雷·沃纳尔 / 加利·艾尔维斯 / 丹尼·格洛弗 ,悬疑/惊悚/恐怖, 美国, 英语,2004/1/19,103,8.7,333933,478683,77058,53696
140,傲慢与偏见 Pride & Prejudice,乔·赖特,简·奥斯汀 / 黛博拉·莫盖茨,凯拉·奈特莉 / 马修·麦克费登 / 唐纳德·萨瑟兰 ,剧情/爱情, 法国 / 英国 / 美国, 英语,2005/9/16,129,8.6,499750,805637,172908,96405
141,时空恋旅人 About Time,理查德·柯蒂斯,理查德·柯蒂斯,多姆纳尔·格里森 / 瑞秋·麦克亚当斯 / 比尔·奈伊 ,喜剧/爱情/奇幻, 英国, 英语,2013/9/4,123,8.7,359590,503395,192631,88346
142,喜宴 囍宴,李安,李安 / 冯光远 / 詹姆斯·夏慕斯,赵文瑄 / 郎雄 / 归亚蕾 ,剧情/喜剧/爱情/同性/家庭, 中国台湾 / 美国, 汉语普通话 / 英语,Feb-93,108,8.9,225475,296156,139123,46879
143,谍影重重3 The Bourne Ultimatum,保罗·格林格拉斯,托尼·吉尔罗伊 / 乔治·诺非 / 斯科特·Z·本恩斯,马特·达蒙 / 朱丽娅·斯蒂尔斯 / 大卫·斯特雷泽恩 ,动作/悬疑/惊悚, 美国 / 德国, 英语 / 法语 / 阿拉伯语 / 俄语 / 西班牙语,2007/11/15,115,8.8,290868,451446,75063,33021
144,岁月神偷 歲月神偷,罗启锐,罗启锐 / 张婉婷,吴君如 / 任达华 / 钟绍图 ,剧情/家庭, 中国香港 / 中国大陆, 粤语 / 汉语普通话 / 英语 / 上海话 / 法语,2010/3/11,117,8.7,434379,640265,168445,95105
145,教父3 The Godfather: Part III,弗朗西斯·福特·科波拉,马里奥·普佐 / 弗朗西斯·福特·科波拉,阿尔·帕西诺 / 黛安·基顿 / 塔莉娅·夏尔 ,剧情/犯罪, 美国, 英语 / 意大利语 / 德语 / 拉丁语,1990/12/25,170,8.9,227482,381603,107443,24239
146,英雄本色,吴宇森,陈庆嘉 / 吴宇森 / 梁淑华,周润发 / 狄龙 / 张国荣 ,剧情/动作/犯罪, 中国香港, 粤语 / 汉语普通话 / 英语,1986/8/2,95,8.7,327804,620116,91755,43187
147,七武士 七人の侍,黑泽明,黑泽明 / 桥本忍 / 小国英雄,三船敏郎 / 志村乔 / 稻叶义男 ,剧情/动作/冒险, 日本, 日语,1954/4/26,160分钟(国际,9.2,125328,180537,124703,25660
148,被解救的姜戈 Django Unchained,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,杰米·福克斯 / 莱昂纳多·迪卡普里奥 / 克里斯托弗·瓦尔兹 ,剧情/动作/西部/冒险, 美国, 美国,2013/5/12,163分钟(中国大,8.7,411860,549163,158206,89986
149,疯狂原始人 The Croods,柯克·德·米科,克里斯·桑德斯 / 柯克·德·米科 / 约翰·克立斯,尼古拉斯·凯奇 / 艾玛·斯通 / 瑞恩·雷诺兹 ,喜剧/动画/冒险, 美国, 英语,2013/4/20,98,8.7,585227,956010,99943,112390
150,真爱至上 Love Actually,理查德·柯蒂斯,理查德·柯蒂斯,休·格兰特 / 科林·费尔斯 / 艾玛·汤普森 ,剧情/喜剧/爱情, 英国 / 美国 / 法国, 英国 / 美国 / 法国,2003/9/7,135,8.6,494801,678104,204976,115496
151,"三块广告牌 Three Billboards Outside Ebbing, Missouri",马丁·麦克唐纳,马丁·麦克唐纳,弗兰西斯·麦克多蒙德 / 伍迪·哈里森 / 山姆·洛克威尔 ,剧情/犯罪, 美国 / 英国, 美国 / 英国,2018/3/2,115,8.7,571015,803393,293564,139882
152,萤火虫之墓 火垂るの墓,高畑勋,高畑勋 / 野坂昭如,辰己努 / 白石绫乃 / 志乃原良子 ,剧情/动画/战争, 日本, 日语,1988/4/16,89,8.7,303680,449683,115104,54766
153,心迷宫,忻钰坤,忻钰坤 / 冯元良 / 鲁妮凡,霍卫民 / 王笑天 / 罗芸 ,剧情/悬疑/犯罪, 中国大陆, 汉语普通话,2015/10/16,110分钟(中国大,8.7,323517,435055,182155,79576
154,哪吒闹海,严定宪,王树忱,梁正晖 / 邱岳峰 / 毕克 ,动画/奇幻/冒险, 中国大陆, 汉语普通话,1979/5/19,65,9,159517,269068,50752,16813
155,纵横四海 緃横四海,吴宇森,吴宇森 / 高志森 / 秦小珍,周润发 / 张国荣 / 钟楚红 ,剧情/喜剧/动作/犯罪, 中国香港, 粤语 / 汉语普通话 / 客家话 / 英语 / 法语,1991/2/2,108,8.8,266136,434602,83417,40912
156,功夫,周星驰,曾瑾昌 / 陈文强 / 周星驰 / 霍昕,周星驰 / 元秋 / 元华 ,喜剧/动作/犯罪/奇幻, 中国大陆 / 中国香港, 粤语 / 汉语普通话 / 手语,2004/12/23,100分钟(3D重,8.5,597823,1053198,23033,59884
157,爆裂鼓手 Whiplash,达米恩·查泽雷,达米恩·查泽雷,迈尔斯·特勒 / J·K·西蒙斯 / 保罗·雷瑟 ,剧情/音乐, 美国, 英语,2014/1/16,107,8.7,371574,495863,146119,91035
158,东邪西毒 東邪西毒,王家卫,王家卫 / 金庸,张国荣 / 林青霞 / 梁朝伟 ,剧情/动作/爱情/武侠/古装, 中国香港 / 中国台湾, 粤语 / 汉语普通话,1994/9/17,100,8.6,409443,750473,144297,58865
159,达拉斯买家俱乐部 Dallas Buyers Club,让-马克·瓦雷,克莱格·鲍登 / 梅丽莎·沃雷克,马修·麦康纳 / 詹妮弗·加纳 / 杰瑞德·莱托 ,剧情/同性/传记, 美国, 英语 / 日语,2013/9/7,117,8.8,303968,432297,185310,59340
160,我是山姆 I Am Sam,杰茜·尼尔森,杰茜·尼尔森 / 克里斯汀·约翰逊,西恩·潘 / 达科塔·范宁 / 米歇尔·菲佛 ,剧情/家庭, 美国, 英语,2001/12/3,132,8.9,192875,260514,156758,39779
161,记忆碎片 Memento,克里斯托弗·诺兰,克里斯托弗·诺兰 / 乔纳森·诺兰,盖·皮尔斯 / 凯瑞-安·莫斯 / 乔·潘托里亚诺 ,剧情/悬疑/惊悚/犯罪, 美国, 英语,2000/9/5,113,8.6,417034,614900,205052,78466
162,贫民窟的百万富翁 Slumdog Millionaire,丹尼·博伊尔,西蒙·博福伊 / 维卡斯·史瓦卢普,戴夫·帕特尔 / 沙鲁巴·舒克拉 / 亚尼·卡普 ,剧情/爱情, 英国 / 美国, 英国 / 美国,2009/3/26,120,8.6,542069,843281,132077,65054
163,天书奇谭,王树忱,王树忱 / 包蕾,丁建华 / 毕克 / 苏秀 ,动画/奇幻, 中国大陆, 汉语普通话,1983,89,9.2,125373,198811,35175,13806
164,荒蛮故事 Relatos salvajes,达米安·斯兹弗隆,达米安·斯兹弗隆,达里奥·格兰迪内蒂 / 玛丽娅·玛努尔 / 莫妮卡·比利亚 ,剧情/喜剧/犯罪, 阿根廷 / 西班牙, 西班牙语,2014/5/17,122,8.8,270946,348714,170352,66646
165,黑天鹅 Black Swan,达伦·阿伦诺夫斯基,安德雷斯·海因斯 / 马克·海曼 / 约翰·J·麦克劳克林,娜塔莉·波特曼 / 米拉·库尼斯 / 文森特·卡索 ,剧情/惊悚, 美国, 英语 / 法语 / 意大利语,2010/9/1,108,8.6,605962,889841,170460,127483
166,头号玩家 Ready Player One,史蒂文·斯皮尔伯格,扎克·佩恩 / 恩斯特·克莱恩,泰伊·谢里丹 / 奥利维亚·库克 / 本·门德尔森 ,动作/科幻/冒险, 美国, 英语 / 日语 / 汉语普通话,2018/3/30,140,8.7,953154,1563375,138155,247849
167,花样年华 花樣年華,王家卫,王家卫,梁朝伟 / 张曼玉 / 潘迪华 ,剧情/爱情, 中国香港, 粤语 / 上海话 / 法语,2000/9/29,98,8.6,380579,576588,133869,70478
168,你的名字。 君の名は。,新海诚,新海诚,神木隆之介 / 上白石萌音 / 长泽雅美 ,剧情/爱情/动画, 日本, 日本,2016/12/2,106,8.4,904127,1607015,170378,221412
169,卢旺达饭店 Hotel Rwanda,特瑞·乔治,凯尔·皮尔森 / 特瑞·乔治,唐·钱德尔 / 苏菲·奥康内多 / 华金·菲尼克斯 ,剧情/历史/战争, 英国 / 南非 / 意大利, 英国 / 南非 / 意大利,2004/9/11,121,8.9,189669,290422,189038,31436
170,雨人 Rain Man,巴瑞·莱文森,罗纳德·巴斯 / 巴里·莫罗,达斯汀·霍夫曼 / 汤姆·克鲁斯 / 瓦莱丽亚·戈利诺 ,剧情, 美国, 英语 / 意大利语,1988/12/16,133,8.7,294621,442924,180069,40960
171,头脑特工队 Inside Out,彼特·道格特,彼特·道格特 / 罗纳尔多·德尔·卡门 / 梅格·勒福夫 / 乔什·库雷 / 迈克尔·阿恩特 / 西蒙·里奇 / 鲍勃·彼德森 / 比尔·哈德尔 / 艾米·波勒,艾米·波勒 / 菲利丝·史密斯 / 理查德·坎德 ,喜剧/动画/冒险, 美国, 美国,2015/10/6,95,8.7,390966,540387,72827,86335
172,忠犬八公物语 ハチ公物語,神山征二郎,新藤兼人,山本圭 / 井川比佐志 / 片桐入 ,剧情, 日本, 日语,1987/8/1,107,9.1,119707,312564,108914,16590
173,模仿游戏 The Imitation Game,莫滕·泰杜姆,格拉汉姆·摩尔 / 安德鲁·霍奇斯,本尼迪克特·康伯巴奇 / 凯拉·奈特莉 / 马修·古迪 ,剧情/同性/传记/战争, 英国 / 美国, 英语 / 德语,2015/7/21,114,8.7,405014,555058,192332,85203
174,釜山行 ???,延尚昊,延尚昊,孔侑 / 郑有美 / 马东锡 ,动作/惊悚/灾难, 韩国, 韩语,2016/5/13,118,8.5,717591,1182772,111105,161752
175,一个叫欧维的男人决定去死 En man som heter Ove,汉内斯·赫尔姆,弗雷德里克·巴克曼 / 汉内斯·赫尔姆,罗夫·拉斯加德 / 巴哈·帕斯 / 托比亚斯·阿姆博瑞 ,剧情, 瑞典, 瑞典语 / 波斯语,2015/12/25,116,8.8,236736,328596,219167,61411
176,黑客帝国3：矩阵革命 The Matrix Revolutions,莉莉·沃卓斯基,莉莉·沃卓斯基 / 拉娜·沃卓斯基,基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯 ,动作/科幻, 美国 / 澳大利亚, 英语 / 法语,2003/11/5,129,8.7,273165,418692,53275,24178
177,你看起来好像很好吃 おまえうまそうだな,藤森雅也,村上修 / 神野博明 / 宫西达也,山口胜平 / 爱河里花子 / 加藤清史郎 ,剧情/动画/儿童, 日本, 日本,2010/10/16,90,8.9,230813,304458,126923,59164
178,无敌破坏王 Wreck-It Ralph,瑞奇·摩尔,菲尔·约翰斯顿 / 珍妮弗·李 / 瑞奇·摩尔 / 吉姆·里尔顿 / 约翰·C·赖利 / 山姆·J·莱文 / 贾里德·斯特恩,约翰·C·赖利 / 萨拉·西尔弗曼 / 杰克·麦克布瑞尔 ,喜剧/动画/奇幻/冒险, 美国, 英语,2012/11/6,101,8.7,355083,516725,96752,70980
179,未麻的部屋 Perfect Blue,今敏,村井贞之 / 竹内义和,岩男润子 / 松本梨香 / 辻亲八 ,动画/惊悚/奇幻, 日本, 日语,Jul-97,81,8.9,173320,218186,143147,40838
180,恋恋笔记本 The Notebook,尼克·卡萨维蒂,扬·萨尔迪 / 杰里米·莱文 / 尼古拉斯·斯帕克斯,瑞恩·高斯林 / 瑞秋·麦克亚当斯 / 吉娜·罗兰兹 ,剧情/爱情, 美国, 英语,2004/6/25,123,8.5,440070,635840,174223,97336
181,冰川时代 Ice Age,卡洛斯·沙尔丹哈,迈克尔·伯格  / 迈克尔·J·威尔森 / 彼得·阿克曼,雷·罗马诺 / 约翰·雷吉扎莫 / 丹尼斯·利瑞 ,喜剧/动画/冒险, 美国, 英语 / 克罗地亚语,2002/3/15,81,8.5,429368,755919,44540,32898
182,海边的曼彻斯特 Manchester by the Sea,肯尼思·洛纳根,肯尼思·洛纳根,卡西·阿弗莱克 / 卢卡斯·赫奇斯 / 米歇尔·威廉姆斯 ,剧情/家庭, 美国, 英语,2017/8/25,137,8.6,332967,454943,240936,101160
183,虎口脱险 La grande vadrouille,热拉尔·乌里,热拉尔·乌里 / 达妮埃尔·汤普森 / 马塞尔·朱利安 / 乔治·塔贝 / 安德烈·塔贝,路易·德·菲奈斯 / 布尔维尔 / 克劳迪奥·布鲁克 ,喜剧/战争, 法国 / 英国, 法语 / 英语 / 德语,1966/12/8,132,8.9,158867,228473,92073,24199
184,海街日记 海街diary,是枝裕和,是枝裕和 / 吉田秋生,绫濑遥 / 长泽雅美 / 夏帆 ,剧情/家庭, 日本, 日本,2015/5/14,127,8.8,254807,327081,152043,73065
185,哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,阿方索·卡隆,史蒂夫·克洛夫斯 / J·K·罗琳,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 ,剧情/奇幻/冒险, 英国 / 美国, 英国 / 美国,2004/9/10,141,8.6,344785,614450,17368,30832
186,雨中曲 Singin' in the Rain,斯坦利·多南,贝蒂·康登 / 阿多夫·格林,吉恩·凯利 / 唐纳德·奥康纳 / 黛比·雷诺斯 ,喜剧/爱情/歌舞, 美国, 英语,1952/4/11,103,9,139720,196248,144945,26124
187,房间 Room,伦尼·阿伯拉罕森,艾玛·多诺霍,布丽·拉尔森 / 雅各布·特伦布莱 / 肖恩·布里吉格斯 ,剧情/家庭, 爱尔兰 / 加拿大 / 英国 / 美国, 英语,2015/9/4,118,8.8,265025,377719,181353,60684
188,恐怖游轮 Triangle,克里斯托弗·史密斯,克里斯托弗·史密斯,梅利莎·乔治 / 利亚姆·海姆斯沃斯 / 迈克尔·多曼 ,剧情/悬疑/惊悚, 英国 / 澳大利亚, 英语,2009/10/16,99,8.5,527772,737716,103804,108297
